epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
79,1644.43,0.89685,0.66741,0.99451,0.88238,0.78984,0.84575,0.63471,1.20225,0.86836,1.16907,9.49926e-05,9.49926e-05,9.49926e-05
80,1665.37,0.92325,0.68721,1.00126,0.87879,0.79138,0.84669,0.64025,1.19003,0.84373,1.17197,9.08643e-05,9.08643e-05,9.08643e-05
81,1686.28,0.90234,0.66576,0.99461,0.90086,0.77317,0.83683,0.63332,1.18976,0.88772,1.17726,8.6736e-05,8.6736e-05,8.6736e-05
82,1707.1,0.88916,0.65006,0.9913,0.90159,0.78998,0.83951,0.63936,1.20656,0.8789,1.18704,8.26077e-05,8.26077e-05,8.26077e-05
83,1728,0.89876,0.66099,0.99732,0.90645,0.78997,0.8407,0.63765,1.21007,0.86582,1.18394,7.84794e-05,7.84794e-05,7.84794e-05
84,1749.17,0.90877,0.67848,1.00051,0.89409,0.79473,0.85172,0.64255,1.20309,0.84578,1.17227,7.43511e-05,7.43511e-05,7.43511e-05
85,1770.44,0.88296,0.64331,0.99907,0.89464,0.79925,0.84511,0.64135,1.2028,0.82706,1.17443,7.02228e-05,7.02228e-05,7.02228e-05
86,1791.31,0.86769,0.63396,0.98146,0.91662,0.77621,0.84608,0.64254,1.19437,0.83304,1.16772,6.60945e-05,6.60945e-05,6.60945e-05
87,1812.26,0.8843,0.65941,0.99909,0.91571,0.78517,0.85029,0.64885,1.18196,0.83404,1.16137,6.19662e-05,6.19662e-05,6.19662e-05
88,1833.16,0.8878,0.64831,0.985,0.92144,0.77922,0.85049,0.6444,1.19545,0.81897,1.17932,5.78379e-05,5.78379e-05,5.78379e-05
89,1854.14,0.86788,0.62375,0.97679,0.92975,0.77463,0.84768,0.64261,1.1984,0.82168,1.18053,5.37096e-05,5.37096e-05,5.37096e-05
90,1874.97,0.88456,0.66449,0.99574,0.92478,0.78107,0.84455,0.63544,1.21333,0.82731,1.18355,4.95813e-05,4.95813e-05,4.95813e-05
91,1914.34,0.82941,0.56509,0.955,0.91808,0.78467,0.84125,0.62629,1.21534,0.8584,1.19479,4.5453e-05,4.5453e-05,4.5453e-05
92,1935.05,0.80705,0.55241,0.9441,0.90114,0.78123,0.84508,0.62905,1.20475,0.85379,1.18736,4.13247e-05,4.13247e-05,4.13247e-05
93,1956.59,0.79729,0.53515,0.94598,0.91457,0.788,0.8517,0.63396,1.21547,0.84391,1.1921,3.71964e-05,3.71964e-05,3.71964e-05
94,1977.56,0.78999,0.53662,0.93687,0.92495,0.78075,0.85201,0.63962,1.1905,0.8325,1.17264,3.30681e-05,3.30681e-05,3.30681e-05
95,1998.26,0.78288,0.52768,0.93993,0.91082,0.78767,0.84991,0.63666,1.18612,0.82502,1.17317,2.89398e-05,2.89398e-05,2.89398e-05
96,2019.17,0.78073,0.52484,0.94387,0.92087,0.77516,0.84854,0.63772,1.19644,0.83295,1.18299,2.48115e-05,2.48115e-05,2.48115e-05
97,2039.9,0.76616,0.51474,0.92829,0.88643,0.79452,0.84732,0.64236,1.18912,0.83141,1.17635,2.06832e-05,2.06832e-05,2.06832e-05
98,2060.63,0.77175,0.51939,0.93505,0.89925,0.78731,0.84843,0.64024,1.19687,0.81759,1.18423,1.65549e-05,1.65549e-05,1.65549e-05
99,2081.39,0.75892,0.51377,0.92576,0.90097,0.79073,0.85233,0.64171,1.1929,0.81615,1.17909,1.24266e-05,1.24266e-05,1.24266e-05
100,2102.15,0.76956,0.51429,0.93233,0.90408,0.79086,0.85268,0.64372,1.19857,0.82129,1.18318,8.2983e-06,8.2983e-06,8.2983e-06
